"id","location","route","location_lat","location_lng","osrm_lat","osrm_lng"
0,"Aue","['Wildenthal', 'Karlsbad']","50.585277777778 50.4508 50.230555555556","12.700833333333 12.6361 12.8725","50.5852394104004, 50.5806503295898, 50.5789184570312, 50.5753402709961, 50.5718574523926, 50.5700378417969, 50.5685806274414, 50.5618476867676, 50.5580101013184, 50.5560188293457, 50.5519981384277, 50.5510177612305, 50.5514373779297, 50.5562400817871, 50.5542373657227, 50.5485496520996, 50.5471572875977, 50.5446891784668, 50.5412979125977, 50.5292091369629, 50.526668548584, 50.5231399536133, 50.5221672058105, 50.5165786743164, 50.5162582397461, 50.5193176269531, 50.5193099975586, 50.513729095459, 50.5071868896484, 50.5034980773926, 50.5024375915527, 50.4935989379883, 50.4925003051758, 50.4889793395996, 50.4809379577637, 50.4785003662109, 50.4762802124023, 50.4777984619141, 50.4755973815918, 50.4750175476074, 50.4540901184082, 50.449878692627, 50.4456977844238, 50.4487075805664, 50.4510879516602, 50.4510879516602, 50.4487075805664, 50.4456977844238, 50.4306983947754, 50.4377288818359, 50.4427490234375, 50.4389495849609, 50.4359283447266, 50.436897277832, 50.4431800842285, 50.4478874206543, 50.4477882385254, 50.4432373046875, 50.439769744873, 50.4356689453125, 50.4281883239746, 50.4208869934082, 50.4173698425293, 50.4089088439941, 50.4005889892578, 50.3966484069824, 50.389518737793, 50.3900489807129, 50.3821983337402, 50.3680801391602, 50.3620185852051, 50.3553886413574, 50.340259552002, 50.3375968933105, 50.332878112793, 50.3262481689453, 50.3224868774414, 50.3154106140137, 50.3052177429199, 50.2943077087402, 50.2908477783203, 50.2856979370117, 50.2731094360352, 50.2556495666504, 50.2474479675293, 50.2372779846191, 50.2347679138184, 50.2349700927734, 50.2317771911621, 50.2300682067871, 50.2306785583496","12.7009792327881, 12.696159362793, 12.689079284668, 12.6911296844482, 12.6901092529297, 12.6928100585938, 12.6930999755859, 12.6903400421143, 12.6908893585205, 12.6859693527222, 12.6848392486572, 12.6821699142456, 12.6800298690796, 12.6785297393799, 12.6721696853638, 12.6702699661255, 12.6708993911743, 12.6619997024536, 12.6561298370361, 12.6482400894165, 12.6426696777344, 12.6400995254517, 12.6349201202393, 12.6339797973633, 12.6236095428467, 12.6198396682739, 12.6147794723511, 12.6079998016357, 12.6115798950195, 12.6084699630737, 12.6033792495728, 12.5995197296143, 12.6041097640991, 12.6076393127441, 12.6093997955322, 12.6113796234131, 12.6159400939941, 12.6188793182373, 12.6216192245483, 12.6274099349976, 12.6325998306274, 12.6309499740601, 12.6338901519775, 12.6377792358398, 12.6368398666382, 12.6368398666382, 12.6377792358398, 12.6338901519775, 12.6489601135254, 12.6532297134399, 12.6791896820068, 12.703179359436, 12.7072792053223, 12.7169895172119, 12.7160692214966, 12.7231798171997, 12.7266092300415, 12.7296495437622, 12.7268295288086, 12.7280197143555, 12.7334899902344, 12.7306299209595, 12.7342195510864, 12.7363700866699, 12.7436695098877, 12.752459526062, 12.7573795318604, 12.7710599899292, 12.7797899246216, 12.7816696166992, 12.7863292694092, 12.7970695495605, 12.8383493423462, 12.8502292633057, 12.858419418335, 12.862979888916, 12.859429359436, 12.858510017395, 12.8684196472168, 12.8586797714233, 12.8582592010498, 12.8701496124268, 12.8790292739868, 12.8723497390747, 12.8779697418213, 12.8688497543335, 12.8619194030762, 12.8691101074219, 12.8719997406006, 12.8701801300049, 12.871789932251"
1,"Bautzen","['Neukirch', 'Steinigtwolmsdorf', 'NeudC6rfel', 'WC6lmsdorf', 'Nixdorf']","51.181388888889 51.09727 51.066666666667 51.0089 50.990616555873 50.965147575772","14.423888888889 14.30789 14.35 14.2839 14.335432343878 14.36380182721","51.1813583374023, 51.1796379089355, 51.1793174743652, 51.177619934082, 51.1753273010254, 51.1749496459961, 51.1727485656738, 51.1712875366211, 51.1681175231934, 51.1563301086426, 51.1442604064941, 51.130786895752, 51.1231079101562, 51.1174583435059, 51.114917755127, 51.1102600097656, 51.1074485778809, 51.102409362793, 51.0943069458008, 51.0925598144531, 51.0955085754395, 51.0972175598145, 51.0972175598145, 51.0966987609863, 51.0955085754395, 51.0923194885254, 51.0907783508301, 51.0888175964355, 51.0845375061035, 51.0834770202637, 51.0820693969727, 51.0807685852051, 51.0799980163574, 51.0778770446777, 51.0771598815918, 51.0736503601074, 51.0732498168945, 51.0726585388184, 51.0711288452148, 51.0691299438477, 51.0682678222656, 51.0682487487793, 51.0678901672363, 51.067497253418, 51.0672874450684, 51.0670776367188, 51.0668182373047, 51.0668182373047, 51.064567565918, 51.0632400512695, 51.0618782043457, 51.0597305297852, 51.0593605041504, 51.0605087280273, 51.0580101013184, 51.0558395385742, 51.0529403686523, 51.0529479980469, 51.0514602661133, 51.0495986938477, 51.0482597351074, 51.0449676513672, 51.0417098999023, 51.0355682373047, 51.031120300293, 51.0295906066895, 51.0295677185059, 51.0268592834473, 51.0146598815918, 51.0043869018555, 51.0032691955566, 51.0024795532227, 50.9976768493652, 50.9943504333496, 50.9892082214355, 50.9883499145508, 50.9866676330566, 50.9864387512207, 50.9837188720703, 50.9830894470215, 50.9837379455566, 50.9822387695312, 50.9804992675781, 50.9761390686035, 50.9771385192871, 50.9757804870605, 50.9788589477539, 50.9823799133301, 50.9924392700195, 50.9964599609375, 50.9986801147461, 50.999137878418, 51.0046882629395, 51.0079078674316, 51.0090103149414, 51.0090103149414, 51.0082168579102, 51.0080871582031, 51.0075798034668, 51.0046882629395, 51.0030097961426, 51.0007972717285, 50.999137878418, 50.9988975524902, 50.9989395141602, 50.9986801147461, 50.9980392456055, 50.9977989196777, 50.9976692199707, 50.9969482421875, 50.9972801208496, 50.9951591491699, 50.9963188171387, 50.9965782165527, 50.9964370727539, 50.9958877563477, 50.9960403442383, 50.9955978393555, 50.9938087463379, 50.9930686950684, 50.992488861084, 50.9922790527344, 50.9911575317383, 50.9905891418457, 50.9905891418457, 50.9899597167969, 50.9885597229004, 50.9880905151367, 50.9864387512207, 50.9818572998047, 50.978157043457, 50.977409362793, 50.9765205383301, 50.9753684997559, 50.9731101989746, 50.9710693359375, 50.9694404602051, 50.968448638916, 50.9669380187988, 50.9666976928711, 50.9671096801758, 50.9651870727539","14.4235992431641, 14.423659324646, 14.4158391952515, 14.4174499511719, 14.4169092178345, 14.4120492935181, 14.4079399108887, 14.3936100006104, 14.3818292617798, 14.3576993942261, 14.3486995697021, 14.3467493057251, 14.3390693664551, 14.3376693725586, 14.3324298858643, 14.3279600143433, 14.3270893096924, 14.3282594680786, 14.320839881897, 14.320650100708, 14.3096799850464, 14.3080492019653, 14.3080492019653, 14.3076696395874, 14.3096799850464, 14.3215293884277, 14.3247499465942, 14.3263492584229, 14.3274297714233, 14.3281497955322, 14.3282594680786, 14.3289794921875, 14.3311595916748, 14.3355693817139, 14.3388700485229, 14.3409900665283, 14.3409900665283, 14.3403196334839, 14.3406095504761, 14.3429594039917, 14.3450298309326, 14.3455991744995, 14.3458595275879, 14.3468494415283, 14.3491296768188, 14.3497295379639, 14.3495197296143, 14.3495197296143, 14.3459196090698, 14.3468799591064, 14.3366899490356, 14.3295593261719, 14.3213691711426, 14.316499710083, 14.2950592041016, 14.2856597900391, 14.2818899154663, 14.2774791717529, 14.2707500457764, 14.2686500549316, 14.261399269104, 14.2545299530029, 14.2537393569946, 14.2453994750977, 14.2427597045898, 14.2399892807007, 14.2365293502808, 14.2323799133301, 14.232629776001, 14.2299699783325, 14.2321100234985, 14.2384300231934, 14.2461099624634, 14.2460098266602, 14.2407894134521, 14.2410497665405, 14.2446393966675, 14.2511301040649, 14.2579393386841, 14.2616195678711, 14.2664794921875, 14.2734699249268, 14.2759895324707, 14.2768793106079, 14.2810592651367, 14.2830696105957, 14.2890796661377, 14.2881593704224, 14.2926197052002, 14.2912797927856, 14.2926397323608, 14.2899894714355, 14.2848300933838, 14.2797498703003, 14.2837400436401, 14.2837400436401, 14.2825298309326, 14.2799396514893, 14.2800197601318, 14.2848300933838, 14.2857599258423, 14.2887992858887, 14.2899894714355, 14.290379524231, 14.2918500900269, 14.2926397323608, 14.2922496795654, 14.2927494049072, 14.2940492630005, 14.2945899963379, 14.2973794937134, 14.3013401031494, 14.3050394058228, 14.3072195053101, 14.311149597168, 14.3145999908447, 14.3159294128418, 14.3185892105103, 14.3244800567627, 14.330060005188, 14.3311796188354, 14.3323993682861, 14.3334798812866, 14.3354091644287, 14.3354091644287, 14.3378200531006, 14.3387594223022, 14.3399200439453, 14.3398494720459, 14.3416299819946, 14.3480796813965, 14.3484697341919, 14.3483800888062, 14.3475494384766, 14.3475198745728, 14.3466396331787, 14.3485593795776, 14.3491592407227, 14.3525896072388, 14.3543300628662, 14.356689453125, 14.3638200759888"
2,"BC6hlen","[]","51.2025","12.385833333333","51.2025","12.385833333333"
3,"Brandhofen","['Milstrich', 'Schiedel', 'Zschornau', 'Deutschbaselitz', 'Kamenz', 'Bischofswerda', 'Radeberg', 'Fischbach']","51.404722222222 51.325 51.31359 51.302863 51.2833 51.266666666667 51.1275 51.116666666667 51.0847","14.268055555556 14.159722222222 14.13976 14.124254 14.1333 14.1 14.179722222222 13.916666666667 14.0181","51.4046974182129, 51.4031295776367, 51.4025077819824, 51.401309967041, 51.3964004516602, 51.3918991088867, 51.3876571655273, 51.3880805969238, 51.3857879638672, 51.3847770690918, 51.3813705444336, 51.3801803588867, 51.3725280761719, 51.3685874938965, 51.3644485473633, 51.3596992492676, 51.3554801940918, 51.3518600463867, 51.3464584350586, 51.344539642334, 51.3417091369629, 51.3386573791504, 51.3367805480957, 51.334716796875, 51.3278274536133, 51.3249282836914, 51.3249282836914, 51.3257675170898, 51.3273086547852, 51.3278274536133, 51.3272895812988, 51.3223495483398, 51.3208770751953, 51.3174781799316, 51.3151893615723, 51.3141975402832, 51.3137397766113, 51.313549041748, 51.313549041748, 51.3135986328125, 51.3135185241699, 51.3132400512695, 51.3127670288086, 51.3116798400879, 51.3100891113281, 51.3081398010254, 51.3064880371094, 51.3045196533203, 51.3037986755371, 51.303466796875, 51.3026695251465, 51.3026695251465, 51.3019905090332, 51.3010368347168, 51.3003692626953, 51.2987403869629, 51.2974090576172, 51.2908592224121, 51.2872200012207, 51.2860870361328, 51.283519744873, 51.2842597961426, 51.2842597961426, 51.283519744873, 51.2860870361328, 51.2872200012207, 51.2908592224121, 51.284740447998, 51.2801094055176, 51.2775993347168, 51.2764282226562, 51.2755279541016, 51.274040222168, 51.2727699279785, 51.2714195251465, 51.2713279724121, 51.2706871032715, 51.2698669433594, 51.2694892883301, 51.2682876586914, 51.2673377990723, 51.2672996520996, 51.2666778564453, 51.2666778564453, 51.2673377990723, 51.2706871032715, 51.2646675109863, 51.2647094726562, 51.2596282958984, 51.2431983947754, 51.229248046875, 51.2255401611328, 51.2141990661621, 51.1971778869629, 51.1888084411621, 51.183708190918, 51.1529388427734, 51.1486968994141, 51.1411972045898, 51.1347694396973, 51.1210670471191, 51.1274070739746, 51.1274070739746, 51.1233596801758, 51.1206092834473, 51.1156005859375, 51.1142387390137, 51.1120986938477, 51.111988067627, 51.1083297729492, 51.1033668518066, 51.1016693115234, 51.0994186401367, 51.0907592773438, 51.0855903625488, 51.0779571533203, 51.0845375061035, 51.0952072143555, 51.0979499816895, 51.0973777770996, 51.0987586975098, 51.1062774658203, 51.1116180419922, 51.1124076843262, 51.111888885498, 51.1142692565918, 51.1157302856445, 51.1148300170898, 51.1166687011719, 51.1166687011719, 51.1162796020508, 51.1163597106934, 51.1178894042969, 51.1169891357422, 51.1155471801758, 51.1149978637695, 51.1116981506348, 51.1149291992188, 51.114917755127, 51.1157302856445, 51.1142692565918, 51.111888885498, 51.1117668151855, 51.1124076843262, 51.1116180419922, 51.1091003417969, 51.1062774658203, 51.1032485961914, 51.0987586975098, 51.0973777770996, 51.0979499816895, 51.0952072143555, 51.0893287658691, 51.086498260498, 51.086009979248, 51.0850868225098","14.2680397033691, 14.2659997940063, 14.2559595108032, 14.2534799575806, 14.249439239502, 14.2431297302246, 14.2436800003052, 14.23703956604, 14.2316694259644, 14.2259998321533, 14.2211999893188, 14.2147598266602, 14.1971292495728, 14.1846399307251, 14.174220085144, 14.1658391952515, 14.1661195755005, 14.1618795394897, 14.1600399017334, 14.1562595367432, 14.1546792984009, 14.1556100845337, 14.157919883728, 14.1579494476318, 14.1529998779297, 14.1596698760986, 14.1596698760986, 14.1568393707275, 14.154239654541, 14.1529998779297, 14.1526193618774, 14.1475296020508, 14.1452894210815, 14.141900062561, 14.1393194198608, 14.1378698348999, 14.1376895904541, 14.139760017395, 14.139760017395, 14.1384792327881, 14.1375598907471, 14.1361198425293, 14.1350193023682, 14.1339893341064, 14.1314392089844, 14.1292695999146, 14.1269998550415, 14.1252393722534, 14.1254596710205, 14.1260194778442, 14.1243696212769, 14.1243696212769, 14.1221199035645, 14.1202592849731, 14.1208000183105, 14.1179294586182, 14.1163396835327, 14.1132698059082, 14.1256494522095, 14.127589225769, 14.1301593780518, 14.1327199935913, 14.1327199935913, 14.1301593780518, 14.127589225769, 14.1256494522095, 14.1132698059082, 14.1103992462158, 14.1042900085449, 14.1016998291016, 14.1017093658447, 14.1012496948242, 14.0997495651245, 14.0995893478394, 14.098949432373, 14.1010894775391, 14.102089881897, 14.1015396118164, 14.102499961853, 14.102879524231, 14.1025400161743, 14.1000099182129, 14.0998992919922, 14.0998992919922, 14.1025400161743, 14.102089881897, 14.1090793609619, 14.1127099990845, 14.1213798522949, 14.1688499450684, 14.1477994918823, 14.1474094390869, 14.1535596847534, 14.149169921875, 14.1402597427368, 14.1387996673584, 14.1461296081543, 14.1543292999268, 14.1571493148804, 14.164999961853, 14.164909362793, 14.179539680481, 14.179539680481, 14.172999382019, 14.1627492904663, 14.1516094207764, 14.1399097442627, 14.1314992904663, 14.1192693710327, 14.1061201095581, 14.092679977417, 14.091329574585, 14.0868196487427, 14.0633897781372, 14.0538892745972, 14.0346899032593, 14.0221796035767, 13.9980096817017, 13.9938898086548, 13.9903593063354, 13.9825391769409, 13.9756994247437, 13.9648694992065, 13.9611692428589, 13.9507999420166, 13.9270296096802, 13.9232597351074, 13.9209699630737, 13.9169492721558, 13.9169492721558, 13.9172201156616, 13.9181995391846, 13.9170999526978, 13.9160299301147, 13.9169292449951, 13.9153900146484, 13.9179201126099, 13.9202899932861, 13.9220399856567, 13.9232597351074, 13.9270296096802, 13.9507999420166, 13.9557695388794, 13.9611692428589, 13.9648694992065, 13.9711999893188, 13.9756994247437, 13.9779300689697, 13.9825391769409, 13.9903593063354, 13.9938898086548, 13.9980096817017, 14.0104293823242, 14.0177593231201, 14.0168695449829, 14.0185699462891"
4,"Chemnitz","[]","50.833333333333","12.916666666667","50.833333333333","12.916666666667"
