location,route
Taucha,"['Bennewitz', 'Wurzen', 'Oschatz', 'Sieglitz', 'Merschwitz', 'Glaubitz', 'Riesa', 'Dahlen', 'Meltewitz', 'Luppa', 'Mügeln', 'Bahnhof Gärtitz', 'Niederstriegis', 'Freiberg', 'Hilbersdorf', 'Oberbobritzsch', 'Hermsdorf/Erzgebirge', 'Hennersdorf', 'Sadisdorf', 'Altenberg', 'Geising', 'fürstenau']"
Torgau,[]
Venusberg,"['Wilischthal', 'Annaberg/Erzgeb.', 'Komotau', 'Falkenau an der Eger', 'Pladen', 'Ober Birken', 'Pilsen', 'Tachau', 'Haid', 'Taus', 'Budweis', 'Mauthausen']"
Weißwasser/Oberlausitz,"['Senftenberg', 'Horneburg', 'Bergen-Belsen']"
Wilischthal,"['Zschopau', 'Wilischthal', 'Leitmeritz', 'Theresienstadt']"
Wolkenburg,"['Herrnsdorf', 'Uhlsdorf', 'Rüßdorf', 'Bernsdorf', 'Hohndorf', 'Stollberg', 'Zwönitz', 'Grünhain', 'Beierfeld', 'Schwarzenberg', 'Johanngeorgenstadt', 'Karlsbad', 'Waldsassen', 'Neustadt/Sachsen', 'Weiden', 'Irrenlohe', 'Regensburg', 'Dachau']"
Zittau,[]
Zschachwitz,['Leitmeritz']
Zschopau,"['Wilischthal', 'Annaberg/Erzgeb.', 'Theresienstadt']"
Zwickau,"['Lengenfeld/V.', 'Rodewisch', 'Wernesgrün', 'Rothenkirchen-Stützengrün', 'Neulehn', 'Schönheide', 'Eibenstock', 'Wildenthal', 'Johanngeorgenstadt', 'Karlsbad', 'Tachau']"
Altenburg,"['Münsa', 'Gössnitz', 'Meerane', 'Glauchau']"
Aschersleben,"['Alsleben', 'Könnern', 'Zörbig', 'Bitterfeld', 'Delitzsch', 'Eilenburg', 'Torgau', 'Falkenberg/Elster', 'Riesa', 'Leitmeritz']"
Aslau,"['Bunzlau', 'Lauban', 'Görlitz', 'Königshain', 'Weißenberg', 'Bautzen', 'Crostwitz', 'Kamenz', 'Großenhain', 'Riesa', 'Oschatz', 'Wurzen', 'Eilenburg', 'Krostitz', 'Delitzsch', 'Brehna', 'Eisleben', 'Sangerhausen', 'Berga', 'Nordhausen', 'Bergen-Belsen']"
Berga/Elster,"['Teichwolframsdorf', 'Gottesgrün', 'Reuth/Sachsen', 'Neumark', 'Hauptmannsgrün', 'Irfersgrün', 'Stangengrün', 'Obererinitz', 'Bärenwalde', 'Albernau', 'Bockau', 'Sosa', 'Lindenau', 'Steinheidel', 'Breitenbrunn', 'Rittersgrün', 'Goldenhöhe', 'Gottesgab', 'Schmiedeberg', 'Theresienstadt', 'Manetin']"
Bunzlau,"['Görlitz', 'Chemnitz', 'Leipzig Mitte', 'Halle', 'Mittelbau-Dora', 'Bergen-Belsen']"
Bunzlau,"['Görlitz', 'Bautzen', 'Kamenz', 'Großenhain', 'Riesa', 'Oschatz', 'Wurzen', 'Eilenburg', 'Halle', 'Eisleben', 'Nordhausen', 'Bergen-Belsen']"
Christianstadt,"['Bad Muskau', 'Pirna', 'Liebstadt', 'Zinnwald', 'Brüx', 'Komotau', 'Karlsbad', 'Eger', 'Plauen (Vogtland) Oberer Bahnhof', 'Gera', 'Leipzig Hauptbahnhof', 'Celle', 'Bergen-Belsen']"
Dessau,"['Torgau', 'Leitmeritz']"
Gebhardtsdorf,"['Raspenau', 'Reichenberg', 'Kratzau', 'Grottau', 'Zittau', 'Großschönau', 'Sankt Georgenthal']"
Schlesiersee,"['Grünberg', 'Bad Muskau', 'Weißwasser/Oberlausitz', 'Nochten', 'Salzenforst', 'Dresden', 'Freiberg', 'Chemnitz', 'Oelsnitz/Vogtland', 'Theuma', 'Helmbrechts', 'Zwodau', 'Wallern', 'Prachatitz']"
Hadmersleben,"['Aken/Elbe', 'Lobositz']"
