id;location;geo_name;coordinates;wikidata;street;additional_address;geo_name_alt
113;Brieg;Brzeg;50.866666666667,17.483333333333;Q214640;;(Brzeg);
114;Brünst;Brünst egal;;;;(Bayern);
115;Brüx;Most;50.503055555556,13.636666666667;Q146363;;(Most);Most
117;Buchau;Bochov;50.151005211385,13.045244542696;Q512631;;(Bochov);
118;Buchenwald;Buchenwald concentration camp;51.021198,11.248999;Q152802;;;
121;Budweis;České Budějovice;48.974722222222,14.474722222222;Q16506;;;Ceske Budejovice
122;Bunzlau;Bolesławiec;51.266666666667,15.566666666667;Q156828;;;
124;Burkau;Burkau;51.183333333333,14.183333333333;Q93216;;;
125;Burkersdorf;Burkersdorf;50.8164,13.4864;Q1016383;;(b. Frauenstein);
126;Burkhardtsdorf;Burkhardtsdorf;50.734722222222,12.921944444444;Q57736;;(b. Chemnitz);
127;Burkhardtsgrün;Burkhardtsgrün;50.5333,12.6222;Q1016556;;;
128;Buttstedt;Büttstedt;51.25,10.3;Q629817;;(Thüringen);
130;Calbe;Calbe;51.903333333333,11.775833333333;Q505176;;;
131;Calbitz;Calbitz;51.328744444444,13.008191666667;Q1026300;;;
132;Canitz;Canitz;51.3133,13.2206;Q1033336;;;
133;Carlsfeld;Carlsfeld;50.4333,12.5833;Q1043371;;;
134;Carsdorf;Carsdorf;51.17389,12.25084;Q96176888;;(b. Pegau);
135;Cavertitz;Cavertitz;51.38333055555555,13.133330555555556;Q31929499;;;
136;Celle;Celle;52.625555555556,10.0825;Q3933;;;
144;Chemnitz;Chemnitz;50.833333333333,12.916666666667;Q2795;;;
149;Chemnitz,;Hilbersdorf;50.8597,12.9531;Q1069519;;nordöstlicher Stadtrand;
150;Christianstadt;Christianstadt concentration camp;51.783298,15.25;Q47515762;;;
151;Clausnitz;Clausnitz;50.739722222222,13.492222222222;Q1098953;;(b. Rechenberg-Bienenmühle);
152;Colditz;Colditz;51.116666666667,12.816666666667;Q10762;;;
153;Commerau;Commerau;51.2933,14.5086;Q160529;;;
154;Conradsdorf;Conradsdorf;50.947222222222,13.373055555556;Q1127120;;;
155;Crostwitz;Crostwitz;51.238252,14.244133;Q31941981;;;
158;Dachau;Dachau concentration camp;48.2699,11.4683;Q151198;;;
159;Dahlen;Dahlen;51.366666666667,13;Q12043;;;
160;Dalena;St. Marien (Dalena);51.64612,11.84203;Q86454777;;;
161;Dallwitz;Dalovice;50.247898908819,12.895890203512;Q1158072;;(Dalovice);
162;Deggendorf;Deggendorf;48.835277777778,12.964444444444;Q16083;;(Bayern);
163;Dehnitz;Dehnitz;;Q98381441;;(b. Wurzen);
164;Delitzsch;Delitzsch;51.526388888889,12.3425;Q12052;;;
165;Dessau;Dessau;51.834166666667,12.246111111111;Q487070;;(Land Anhalt);
166;Deutsch Paulsdorf;Deutsch Paulsdorf;51.1,14.83;Q1201820;;;
167;Deutschbaselitz;Deutschbaselitz;51.2833,14.1333;Q1201964;;;
168;Deutschenbora;Deutschenbora;51.0596,13.361;Q1204564;;;
169;Dippoldiswalde;Dippoldiswalde;50.893333333333,13.666666666667;Q6462;;;
170;Dittersbach;Dittersbach;50.6753283,13.4473569;;;;
171;Dittersbach,;Dittersbach, Ortsgrenze Neuhausen;50.6755491,13.4541981;;Ortsgrenze Neuhausen/Erzgeb.;;
172;Dittmannsdorf;Dittmannsdorf;50.7799,13.0497;Q1230399;;(b. Gronau);
173;Döbeln;Bahnhof Gärtitz;51.1428988,13.1193907;Q29587240;;(Sandgrube Gärtitz);
174;Döbeln;Döbeln Stadt;51.119444444444,13.112777777778;Q71163;;(Stadt);
175;Dobra;Dobra;51.0137,14.02731;Q1233338;;;
176;Dommitzsch;Dommitzsch;51.639444444444,12.8825;Q12045;;;
177;Dorfchemnitz;Dorfchemnitz;50.663611111111,12.836388888889;Q1243980;;;
178;Dörschnitz;Kirche Dörschnitz;51.226836296243,13.311973925721;Q49541016;;;
179;Dresden;Dresden;51.05,13.74;Q1731;;;
184;Dresden,;Elbebrücke Dresden;51.0733,13.6728;Q1325126;Autobahnbrücke;;
192;Dresden,;Carola Bridge;51.0539,13.7472;Q1044279;Carolabrücke 14;;
193;Dresden,;Florastraße;51.04798,13.71663;Q72662404;Florastr.;;
194;Dresden,;Döbelner Straße;51.093317,13.729059;Q67369357;Hellerhof, Döbelner Str. 54;;
195;Dresden,;Mügelner Straße;51.011918,13.804185;Q99396675;Mügelner Str. 40;;
196;Dresden,;Emerich-Ambros-Ufer;51.0527,13.6982;Q1335476;RAW, Weißeritzufer;;
198;Dresden,;Riesaer Straße;51.080664,13.728153;Q66818772;Riesaer Str. 32;;
199;Dresden,;Schandauer Straße 67;;Q105304725;Schandauer Str. 68;;
200;Dresden,;Zwickauer Straße;51.03723,13.71185;Q95690211;Zwickauer Straße;;
295;Dresdener;Dresden Heath;51.095555555556,13.838055555556;Q8905;Heide;;
296;Duderstadt;Duderstadt;51.5125,10.259722222222;Q498596;;;
203;Duppau;Doupov;50.257222222222,13.143611111111;Q27645287;;(Doupov);
298;Dux;Duchcov;50.603854793198,13.746310094927;Q158584;;(Duchcov);
207;Ebersbach/Oberlausitz;Ebersbach;51.008333333333,14.585277777778;Q157480;;;
208;Eckardtsberga;Eckartsberga;51.12293,11.56112;Q530107;;(Thüringen);
209;Eger;Cheb;50.079759165169,12.373995588434;Q193719;;(Cheb);
304;Eibenstock;Eibenstock;50.495555555556,12.5975;Q57881;;;
305;Eichigt,;Bergen;50.3377,12.1894;Q110655355;;Rittergut;
306;Eichwald/Erzgebirge;Dubí;50.681121671443,13.788939045017;Q601254;;(Dubi);
307;Eilenburg;Eilenburg;51.460833333333,12.635833333333;Q12055;;;
308;Eineborn;Eineborn;50.830555555556,11.855277777778;Q567925;;(Thüringen);
309;Eisenach;Eisenach;50.974722222222,10.324444444444;Q7070;;;
310;Eisenstein;Železná Ruda;49.137540252733,13.235220012642;Q327749;;(Zeleznä;Ruda)
311;Eisleben;Lutherstadt Eisleben;51.516666666667,11.55;Q484870;;;
218;Elbe;Elbe;;;;(b.;Leitmeritz
220;Elbe;Elbe;;;;(Fluss;-
221;Elbe;Elbe;;;;(zwischen;Aken
223;Elbe;Elbe;;;;(zwischen;Coswig
312;Elbe;Elbe;;;;(b.;Leitmeritz
314;Elbe;Elbe;;;;(Fluss;-
315;Elbe;Elbe;;;;(zwischen;Aken
317;Elbe;Elbe;;;;(zwischen;Coswig
224;Elbogen;Loket;50.186115970463,12.754126076404;Q936145;;(Loket);
318;Elbogen;Loket;50.186115970463,12.754126076404;Q936145;;(Loket);
